time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1629234000,0.215,0.234,0.211,0.217,52.268792849217164,49.38109878325877,NaN,NaN
1629320400,0.217,0.224,0.203,0.222,54.07382550589308,50.29740929115424,NaN,NaN
1629406800,0.222,0.228,0.214,0.228,56.213693051887915,51.617181961912834,NaN,NaN
1629666000,0.228,0.236,0.224,0.228,56.213693051887915,53.016826851233866,NaN,NaN
1629752400,0.228,0.237,0.224,0.224,54.2590089301334,53.881309811303495,NaN,NaN
1629838800,0.224,0.25,0.224,0.241,60.539213837502096,54.68337261645446,NaN,NaN
1629925200,0.241,0.248,0.233,0.243,61.213912690857185,55.28416955752102,NaN,NaN
1630011600,0.243,0.246,0.215,0.217,49.39109639986886,54.80761895380741,NaN,NaN
1630270800,0.217,0.219,0.203,0.203,44.41653445812733,53.605150421984526,NaN,NaN
1630357200,0.203,0.211,0.198,0.211,47.66054324164303,53.15217212574924,NaN,NaN
1630443600,0.211,0.217,0.204,0.211,47.66054324164303,52.57207500168067,NaN,NaN
1630530000,0.211,0.213,0.206,0.208,46.48073871879217,52.350417060744014,NaN,NaN
1630616400,0.21,0.212,0.196,0.21,47.415291773505665,52.14826290001257,NaN,NaN
1630875600,0.204087,0.212004,0.204087,0.204087,44.91795891528052,51.623203333302804,NaN,NaN
1630962000,0.204087,0.222,0.204,0.222,52.99491904779137,51.67506949034382,NaN,NaN
1631048400,0.224,0.224,0.214,0.218,51.18983273286367,51.46907000655601,NaN,NaN
1631134800,0.22,0.222,0.212,0.214,49.37854794936571,50.98084535637586,NaN,NaN
1631221200,0.214,0.223,0.214,0.215,49.85623629798105,50.526741302525366,NaN,NaN
1631480400,0.217,0.223,0.211,0.215,49.85623629798105,50.21225754308591,NaN,NaN
1631566800,0.213,0.221,0.203,0.209,46.784176556978466,49.229754880191365,NaN,NaN
1631653200,0.209,0.215,0.207,0.213,49.03864697582917,48.360093043403644,NaN,NaN
1631739600,0.213,0.223,0.211,0.221,53.29989030462523,48.6392926080291,NaN,NaN
1631826000,0.223,0.232,0.22,0.226,55.788166641299114,49.451552049684224,NaN,NaN
1632085200,0.226,0.234,0.214,0.218,51.097000820535534,49.6970133053194,NaN,NaN
1632171600,0.218,0.222,0.21,0.218,51.09700082053553,49.94247456095458,NaN,NaN
1632258000,0.218,0.244,0.216,0.238,60.68284127065095,50.95691045751592,NaN,NaN
1632344400,0.238,0.263,0.238,0.263,68.8914441865274,52.49092134416033,NaN,NaN
1632430800,0.261,0.276,0.253,0.274,71.6919380122791,54.40334842251737,NaN,NaN
1632690000,0.27,0.29,0.268,0.28,73.11370671535401,55.84040468448613,NaN,NaN
1632776400,0.28,0.321,0.28,0.305,78.05859688757423,57.75960212410831,NaN,NaN
1632862800,0.305,0.309,0.291,0.291,70.26500742039894,59.25149208632497,NaN,NaN
1632949200,0.291,0.301,0.277,0.279,64.33566573459231,60.28573704608292,NaN,NaN
1633035600,0.277,0.284,0.264,0.266,58.56951732623918,60.90811426238707,NaN,NaN
1633294800,0.262,0.284,0.26,0.282,62.96863021846846,62.06414666677922,NaN,NaN
